BankModel..1 	 starts 	 BankModel..1 	 at time 0.0.
BankModel..1 	 executes Arrival..3 on 1 	 Entity..2 	 at time 3.0744344438727667.
BankModel..1 	 executes Arrival..5 on 2 	 Entity..4 	 at time 7.948660020268973.
BankModel..1 	 executes Departure..6 on 1 	 Entity..2 	 at time 8.335485535489322.
BankModel..1 	 records 0.3868255152203499 wait for 2 	 Entity..4 	 at time 8.335485535489322.
BankModel..1 	 executes Departure..9 on 2 	 Entity..4 	 at time 20.02572397147837.
BankModel..1 	 executes Arrival..8 on 3 	 Entity..7 	 at time 30.01431521445774.
BankModel..1 	 executes Arrival..11 on 4 	 Entity..10 	 at time 34.3410210989153.
BankModel..1 	 executes Departure..12 on 3 	 Entity..7 	 at time 38.143721106045504.
BankModel..1 	 records 3.8027000071302055 wait for 4 	 Entity..10 	 at time 38.143721106045504.
BankModel..1 	 executes Arrival..14 on 5 	 Entity..13 	 at time 44.38692959912855.
BankModel..1 	 executes Departure..15 on 4 	 Entity..10 	 at time 55.71457982155608.
BankModel..1 	 records 11.327650222427529 wait for 5 	 Entity..13 	 at time 55.71457982155608.
BankModel..1 	 executes Departure..18 on 5 	 Entity..13 	 at time 61.23011366741439.
BankModel..1 	 executes Arrival..17 on 6 	 Entity..16 	 at time 66.56726069031119.
BankModel..1 	 executes Arrival..20 on 7 	 Entity..19 	 at time 72.85857128403315.
BankModel..1 	 executes Arrival..23 on 8 	 Entity..22 	 at time 73.07714513457631.
BankModel..1 	 executes Arrival..25 on 9 	 Entity..24 	 at time 73.96410452254624.
BankModel..1 	 executes Arrival..27 on 10 	 Entity..26 	 at time 75.5778350526713.
BankModel..1 	 executes Departure..21 on 6 	 Entity..16 	 at time 75.89982605680859.
BankModel..1 	 records 3.0412547727754458 wait for 7 	 Entity..19 	 at time 75.89982605680859.
BankModel..1 	 executes Departure..30 on 7 	 Entity..19 	 at time 83.09755352699858.
BankModel..1 	 records 10.020408392422269 wait for 8 	 Entity..22 	 at time 83.09755352699858.
BankModel..1 	 executes Arrival..29 on 11 	 Entity..28 	 at time 83.76932578497478.
BankModel..1 	 executes Departure..31 on 8 	 Entity..22 	 at time 108.24344028247278.
BankModel..1 	 records 34.27933575992654 wait for 9 	 Entity..24 	 at time 108.24344028247278.
BankModel..1 	 executes Arrival..33 on 12 	 Entity..32 	 at time 112.60505462761526.
BankModel..1 	 executes Departure..34 on 9 	 Entity..24 	 at time 117.15149101108119.
BankModel..1 	 records 41.57365595840989 wait for 10 	 Entity..26 	 at time 117.15149101108119.
BankModel..1 	 executes Departure..37 on 10 	 Entity..26 	 at time 118.89628071582375.
BankModel..1 	 records 35.12695493084897 wait for 11 	 Entity..28 	 at time 118.89628071582375.
BankModel..1 	 executes Departure..38 on 11 	 Entity..28 	 at time 126.34543084432657.
BankModel..1 	 records 13.740376216711311 wait for 12 	 Entity..32 	 at time 126.34543084432657.
BankModel..1 	 executes Arrival..36 on 13 	 Entity..35 	 at time 127.09286184020789.
BankModel..1 	 executes Departure..39 on 12 	 Entity..32 	 at time 128.85434269950903.
BankModel..1 	 records 1.7614808593011446 wait for 13 	 Entity..35 	 at time 128.85434269950903.
BankModel..1 	 executes Departure..42 on 13 	 Entity..35 	 at time 131.83395452740788.
BankModel..1 	 executes Arrival..41 on 14 	 Entity..40 	 at time 131.87642284860547.
BankModel..1 	 executes Arrival..44 on 15 	 Entity..43 	 at time 134.47885302220257.
BankModel..1 	 executes Arrival..47 on 16 	 Entity..46 	 at time 136.7242982612303.
BankModel..1 	 executes Arrival..49 on 17 	 Entity..48 	 at time 137.2261702449296.
BankModel..1 	 executes Arrival..51 on 18 	 Entity..50 	 at time 147.40854337863198.
BankModel..1 	 executes Arrival..53 on 19 	 Entity..52 	 at time 154.7701477912773.
BankModel..1 	 executes Departure..45 on 14 	 Entity..40 	 at time 156.23036666907095.
BankModel..1 	 records 21.751513646868375 wait for 15 	 Entity..43 	 at time 156.23036666907095.
BankModel..1 	 executes Departure..56 on 15 	 Entity..43 	 at time 157.72653703452573.
BankModel..1 	 records 21.00223877329543 wait for 16 	 Entity..46 	 at time 157.72653703452573.
BankModel..1 	 executes Arrival..55 on 20 	 Entity..54 	 at time 163.85566376466804.
BankModel..1 	 executes Departure..57 on 16 	 Entity..46 	 at time 164.672172951749.
BankModel..1 	 records 27.4460027068194 wait for 17 	 Entity..48 	 at time 164.672172951749.
BankModel..1 	 executes Arrival..59 on 21 	 Entity..58 	 at time 169.21844285974228.
BankModel..1 	 executes Departure..60 on 17 	 Entity..48 	 at time 171.57195681411181.
BankModel..1 	 records 24.16341343547984 wait for 18 	 Entity..50 	 at time 171.57195681411181.
BankModel..1 	 executes Departure..63 on 18 	 Entity..50 	 at time 173.18149792787406.
BankModel..1 	 records 18.411350136596752 wait for 19 	 Entity..52 	 at time 173.18149792787406.
BankModel..1 	 executes Arrival..62 on 22 	 Entity..61 	 at time 176.1320750567854.
BankModel..1 	 executes Arrival..66 on 23 	 Entity..65 	 at time 190.21623508846577.
BankModel..1 	 executes Arrival..68 on 24 	 Entity..67 	 at time 207.82840698967848.
BankModel..1 	 executes Departure..64 on 19 	 Entity..52 	 at time 226.71702027770723.
BankModel..1 	 records 62.8613565130392 wait for 20 	 Entity..54 	 at time 226.71702027770723.
BankModel..1 	 executes Departure..71 on 20 	 Entity..54 	 at time 229.973272198108.
BankModel..1 	 records 60.75482933836571 wait for 21 	 Entity..58 	 at time 229.973272198108.
BankModel..1 	 executes Departure..72 on 21 	 Entity..58 	 at time 230.50106233817007.
BankModel..1 	 records 54.368987281384676 wait for 22 	 Entity..61 	 at time 230.50106233817007.
BankModel..1 	 executes Departure..73 on 22 	 Entity..61 	 at time 242.44809762370363.
BankModel..1 	 records 52.231862535237866 wait for 23 	 Entity..65 	 at time 242.44809762370363.
BankModel..1 	 executes Arrival..70 on 25 	 Entity..69 	 at time 256.6460427235604.
BankModel..1 	 executes Arrival..76 on 26 	 Entity..75 	 at time 262.9266161852103.
BankModel..1 	 executes Departure..74 on 23 	 Entity..65 	 at time 265.9003663021087.
BankModel..1 	 records 58.07195931243021 wait for 24 	 Entity..67 	 at time 265.9003663021087.
BankModel..1 	 executes Arrival..78 on 27 	 Entity..77 	 at time 266.67941725333105.
BankModel..1 	 executes Departure..79 on 24 	 Entity..67 	 at time 267.1508519586241.
BankModel..1 	 records 10.504809235063703 wait for 25 	 Entity..69 	 at time 267.1508519586241.
BankModel..1 	 executes Departure..82 on 25 	 Entity..69 	 at time 269.5724085408167.
BankModel..1 	 records 6.645792355606375 wait for 26 	 Entity..75 	 at time 269.5724085408167.
BankModel..1 	 executes Departure..83 on 26 	 Entity..75 	 at time 280.53766311115805.
BankModel..1 	 records 13.858245857827 wait for 27 	 Entity..77 	 at time 280.53766311115805.
BankModel..1 	 executes Arrival..81 on 28 	 Entity..80 	 at time 286.7867686021638.
